Payment_Date,Interest,Year,Purpose,Loan ID
2012-12-31,7274.660000000001,2012,boat,LL0000076
2013-12-31,10508.750000000002,2013,boat,LL0000076
2014-12-31,10018.820000000002,2014,boat,LL0000076
2015-12-31,9521.94,2015,boat,LL0000076
2016-12-31,9018.1,2016,boat,LL0000076
2017-12-31,8507.160000000002,2017,boat,LL0000076
2018-12-31,7989.04,2018,boat,LL0000076
2019-12-31,7463.62,2019,boat,LL0000076
2020-12-31,6930.780000000001,2020,boat,LL0000076
2021-12-31,6390.450000000002,2021,boat,LL0000076
2022-12-31,5842.52,2022,boat,LL0000076
2023-12-31,5286.869999999999,2023,boat,LL0000076
2024-12-31,4723.39,2024,boat,LL0000076
2025-12-31,4151.969999999999,2025,boat,LL0000076
2026-12-31,3572.51,2026,boat,LL0000076
2027-12-31,2984.9,2027,boat,LL0000076
2028-12-31,2389.03,2028,boat,LL0000076
2029-12-31,1784.7400000000002,2029,boat,LL0000076
2030-12-31,1171.9599999999998,2030,boat,LL0000076
2031-12-31,550.54,2031,boat,LL0000076
2032-12-31,43.919999999999995,2032,boat,LL0000076
2014-12-31,3711.5699999999997,2014,boat,LL0000151
2015-12-31,21478.79,2015,boat,LL0000151
2016-12-31,20110.69,2016,boat,LL0000151
2017-12-31,18724.74,2017,boat,LL0000151
2018-12-31,17320.69,2018,boat,LL0000151
2019-12-31,15898.279999999999,2019,boat,LL0000151
2020-12-31,14457.350000000002,2020,boat,LL0000151
2021-12-31,12997.57,2021,boat,LL0000151
2022-12-31,11518.71,2022,boat,LL0000151
2023-12-31,10020.59,2023,boat,LL0000151
2024-12-31,8502.87,2024,boat,LL0000151
2025-12-31,6965.35,2025,boat,LL0000151
2026-12-31,5407.749999999999,2026,boat,LL0000151
2027-12-31,3829.8,2027,boat,LL0000151
2028-12-31,2231.2699999999995,2028,boat,LL0000151
2029-12-31,623.22,2029,boat,LL0000151
2014-12-31,23801.68,2014,boat,LL0000161
2015-12-31,45401.61,2015,boat,LL0000161
2016-12-31,42434.11,2016,boat,LL0000161
2017-12-31,39427.899999999994,2017,boat,LL0000161
2018-12-31,36382.5,2018,boat,LL0000161
2019-12-31,33297.4,2019,boat,LL0000161
2020-12-31,30172.089999999997,2020,boat,LL0000161
2021-12-31,27006.0,2021,boat,LL0000161
2022-12-31,23798.67,2022,boat,LL0000161
2023-12-31,20549.5,2023,boat,LL0000161
2024-12-31,17257.99,2024,boat,LL0000161
2025-12-31,13923.559999999998,2025,boat,LL0000161
2026-12-31,10545.66,2026,boat,LL0000161
2027-12-31,7123.719999999999,2027,boat,LL0000161
2028-12-31,3657.1600000000008,2028,boat,LL0000161
2029-12-31,514.52,2029,boat,LL0000161
2012-12-31,12374.16,2012,boat,LL0000175
